price,storage,ram,battery,screen_megapixels,screen_size,charger,rating,brand_Allview,brand_Apple,brand_Asus,brand_Blackview,brand_Cat,brand_Cmf,brand_Cubot,brand_Czay,brand_Doogee,brand_Energizer,brand_Evolveo,brand_Fairphone,brand_Fossibot,brand_Google,brand_Hmd,brand_Honor,brand_Hotwav,brand_Huawei,brand_Ihunt,brand_Infinix,brand_Maxcom,brand_Meizu,brand_Mobiola,brand_Motorola,brand_Myphone,brand_Nokia,brand_Nothing,brand_Nubia,brand_One,brand_Oppo,brand_Orange,brand_Oukitel,brand_Panasonic,brand_Poco,brand_Qubo,brand_Realme,brand_Redmagic,brand_Redmi,brand_Rugged,brand_Samsung,brand_Soyes,brand_Tcl,brand_Tecno,brand_Unihertz,brand_Vivo,brand_Xiaomi,brand_Zte
5449.0,12.0,256.0,5000.0,4.49,6.9,0,4.66,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
476.74,4.0,128.0,5000.0,1.15,6.7,0,4.52,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
790.55,8.0,256.0,5500.0,2.59,6.67,0,4.65,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
2699.99,8.0,256.0,4000.0,2.53,6.2,0,4.65,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
310.15,2.0,64.0,5200.0,1.16,6.67,0,3.87,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
949.0,8.0,256.0,5000.0,2.53,6.7,0,5.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
999.99,8.0,256.0,6000.0,3.56,6.77,0,5.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
899.99,8.0,256.0,5000.0,2.53,6.7,0,5.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
64.99,0.00390625,0.00390625,800.0,0.02,1.77,0,4.28,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
649.99,4.0,128.0,5000.0,2.53,6.7,0,5.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
279.99,0.0625,0.125,1450.0,0.08,1.77,0,5.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2284.5,8.0,128.0,4700.0,2.53,6.7,0,4.76,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
395.98,8.0,128.0,5150.0,1.15,6.75,1,3.9,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
5477.6,12.0,256.0,5000.0,4.49,6.9,0,4.66,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
529.99,8.0,256.0,5200.0,1.16,6.67,0,4.66,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
750.2,6.0,128.0,5000.0,2.53,6.7,1,4.64,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
698.99,6.0,128.0,5500.0,2.59,6.67,0,4.65,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
3748.58,12.0,256.0,4000.0,2.53,6.2,0,4.74,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
1666.21,8.0,256.0,5000.0,2.53,6.7,0,4.65,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
