title,price_raw,rating,url,image
"Telefon mobil iHunt S25 Ultra, Dual SIM, 4G, 8GB (4+4) RAM, 128GB, Octa-Core, 5150mAh, Android 15, Black","350,00Lei",,https://www.emag.ro/telefon-mobil-ihunt-s25-ultra-dual-sim-4g-8gb-4-4-ram-128gb-octa-core-5150mah-android-15-black-s25-ultra-blk/pd/DVPSS03BM/,https://s13emagst.akamaized.net/products/95646/95645837/images/res_0472da2dcdca30a25b11c0871f02aa99.jpg?width=720&height=720&hash=FCF20BC4E5AFA0F9DA29D585A2CB4BBF
"Telefon mobil Apple iPhone 16, 128GB, 5G, Black","3699,99Lei",,https://www.emag.ro/telefon-mobil-apple-iphone-16-128gb-5g-black-mye73zd-a/pd/DHY67LYBM/,https://s13emagst.akamaized.net/products/76828/76827218/images/res_e74f88f45f2837aeecbaac4974a50afa.jpg?width=720&height=720&hash=E42849028EDE45ECDCC6DF1EAF9F5879
"Telefon mobil Samsung Galaxy A56, Dual SIM, 8GB RAM, 256GB, 5G, Awesome LightGray","1679,27Lei",,https://www.emag.ro/telefon-mobil-samsung-galaxy-a56-dual-sim-8gb-ram-256gb-5g-awesome-lightgray-sm-a566bzaceue/pd/D4Z5X33BM/,https://s13emagst.akamaized.net/products/89071/89070985/images/res_b0f55b8539f04a66279c7747362a722f.jpg?width=720&height=720&hash=6C58526C0BC67D0AEF13A6B17C3D8CF9
"Telefon mobil Samsung Galaxy A36, Dual SIM, 8GB RAM, 256GB, 5G, Awesome Lavender","1304,99Lei",,https://www.emag.ro/telefon-mobil-samsung-galaxy-a36-dual-sim-8gb-ram-256gb-5g-awesome-lavender-sm-a366blvgeue/pd/DHZ5X33BM/,https://s13emagst.akamaized.net/products/89071/89070976/images/res_f7d75da00538022e7a1f683dd13503dd.jpg?width=720&height=720&hash=9000F5EDF8FB53CCA73C87B2ABFBA19F
"Telefon mobil pentru seniori, cu meniul in limba Romana, taste mari, buton SOS, micro SIM, retea 4G, Functie Apelare Rapida, Bluetooth, Radio, Camera, Lanterna","229,97Lei",,https://www.emag.ro/telefon-mobil-pentru-seniori-cu-meniul-in-limba-romana-taste-mari-buton-sos-micro-sim-retea-4g-functie-apelare-rapida-bluetooth-radio-camera-lanterna-telefon-c1-4g/pd/D4QJLRYBM/,https://s13emagst.akamaized.net/products/80989/80988077/images/res_8fa578c970729c85d4d0cfcf6f7c4820.png?width=720&height=720&hash=A79ACE6B9A313F943E6C921C91A056F6
"Telefon mobil Apple iPhone 15, 128GB, 5G, Black","3345,13Lei",,https://www.emag.ro/telefon-mobil-apple-iphone-15-128gb-5g-black-mtp03rx-a/pd/DZ4H93YBM/,https://s13emagst.akamaized.net/products/60458/60457121/images/res_9e07439d21e460f9570cfe181e6280c2.jpg?width=720&height=720&hash=F305EF62487A655E79E8D31F77CAA5B6
"Telefon mobil Apple iPhone 15, 128GB, 5G, Pink","3199,99Lei",,https://www.emag.ro/telefon-mobil-apple-iphone-15-128gb-5g-pink-mtp13rx-a/pd/D14H93YBM/,https://s13emagst.akamaized.net/products/60458/60457122/images/res_a34b30b780dd109b981753e94838c86c.jpg?width=720&height=720&hash=0AB50BDA2DD50B4FA704BDE0A10DC35B
"Telefon mobil Samsung Galaxy A56, Dual SIM, 8GB RAM, 128GB, 5G, Awesome Graphite","1399,00Lei",,https://www.emag.ro/telefon-mobil-samsung-galaxy-a56-dual-sim-8gb-ram-128gb-5g-awesome-graphite-sm-a566bzkaeue/pd/D1Z5X33BM/,https://s13emagst.akamaized.net/products/89071/89070990/images/res_17ed17e93a24daeb8ced5da38bc61a55.jpg?width=720&height=720&hash=9AC43C91215692DD3B4D5FF8957DD585
"Telefon mobil Samsung Galaxy A56, Dual SIM, 8GB RAM, 128GB, 5G, Awesome LightGray","1399,00Lei",,https://www.emag.ro/telefon-mobil-samsung-galaxy-a56-dual-sim-8gb-ram-128gb-5g-awesome-lightgray-sm-a566bzaaeue/pd/DVZ5X33BM/,https://s13emagst.akamaized.net/products/89071/89070985/images/res_b0f55b8539f04a66279c7747362a722f.jpg?width=720&height=720&hash=6C58526C0BC67D0AEF13A6B17C3D8CF9
"Telefon mobil Motorola E15, Dual SIM, 2GB RAM, 64GB, Fresh Lavender","304,99Lei",,https://www.emag.ro/telefon-mobil-motorola-e15-dual-sim-2gb-ram-64gb-fresh-lavender-pb6s0003pl/pd/DHDZHK3BM/,https://s13emagst.akamaized.net/products/93625/93624661/images/res_6ab8af45872b79cd05200017dddf1a86.jpg?width=720&height=720&hash=0725D96A427E82A6C9DAF1211A5F96B3
"Telefon mobil Samsung Galaxy S25, Dual SIM, 12GB RAM, 256GB, 5G, Blueblack","3669,00Lei",,https://www.emag.ro/telefon-mobil-samsung-galaxy-s25-dual-sim-12gb-ram-256gb-5g-blueblack-sm-s931bzkgeue/pd/DRJW5X3BM/,https://s13emagst.akamaized.net/products/98698/98697141/images/res_8db6c01f983a71d58f56face675fa288.jpg?width=720&height=720&hash=F862FA57D7DC5FBA55FEB54B710181BB
"Telefon mobil Xiaomi Redmi Note 14, 6GB RAM, 128GB, Mist Purple","599,99Lei",,https://www.emag.ro/telefon-mobil-xiaomi-redmi-note-14-6gb-ram-128gb-mist-purple-mzb0iyieu/pd/DZH3DGYBM/,https://s13emagst.akamaized.net/products/84223/84222403/images/res_77c6c724767433609b34f2ccecd999d0.jpg?width=720&height=720&hash=08F6613283FA2EC49D795BA4A2283DF3
"Telefon mobil Xiaomi 15T, 12GB RAM, 256GB ROM, 5G Rose Gold + Woven Strap Ring Stand","1999,99Lei",,https://www.emag.ro/telefon-mobil-xiaomi-15t-12gb-ram-256gb-rom-5g-rose-gold-woven-strap-ring-stand-mzb0n3feu/pd/D19M943BM/,https://s13emagst.akamaized.net/products/103853/103852844/images/res_a9b59c41a43864040cb524496c9eef3e.jpg?width=720&height=720&hash=59159D165E6A45B9032262D3E34F29A4
"Telefon mobil Samsung Galaxy A16, 128GB, 6GB RAM, Black","749,00Lei",,https://www.emag.ro/telefon-mobil-samsung-galaxy-a16-128gb-6gb-ram-black-sm-a165fzkg/pd/DX0N55YBM/,https://s13emagst.akamaized.net/products/81504/81503600/images/res_9ab2b60d3b31a60b7daf8848aaf980e6.jpg?width=720&height=720&hash=7F33AF450220D6729853EBDC72BCE180
"Telefon mobil Apple iPhone 16, 128GB, 5G, Pink","3849,99Lei",,https://www.emag.ro/telefon-mobil-apple-iphone-16-128gb-5g-pink-myea3zd-a/pd/DXY67LYBM/,https://s13emagst.akamaized.net/products/76828/76827220/images/res_41ac93d716ec11baeeb0b5d95ebeb465.jpg?width=720&height=720&hash=FBBE8141782BC1AB9C09D57994FB9410
"Telefon mobil Xiaomi Redmi 13, 8GB RAM, 256GB, Midnight Black","699,99Lei",,https://www.emag.ro/telefon-mobil-xiaomi-redmi-13-8gb-ram-256gb-midnight-black-mzb0gzbeu/pd/DH19SJYBM/,https://s13emagst.akamaized.net/products/74216/74215566/images/res_6e4c4707ed4b5a1a515d41b201c78300.jpg?width=720&height=720&hash=9495451EF673D0D0B62EB6E6CC4A667A
"Telefon mobil Samsung Galaxy S25, Dual SIM, 12GB RAM, 256GB, 5G, Navy","3735,00Lei",,https://www.emag.ro/telefon-mobil-samsung-galaxy-s25-dual-sim-12gb-ram-256gb-5g-navy-sm-s931bdbgeue/pd/D0QVXGYBM/,https://s13emagst.akamaized.net/products/84446/84445742/images/res_3ea91debbe31ed9e8d5a667387425cc2.jpg?width=720&height=720&hash=D4A7ACF1BCAA4F4489B103D5F6BC21F5
